
  Date     ,Narration                                                                                                                ,Value Dat,Debit Amount       ,Credit Amount      ,Chq/Ref Number   ,Closing Balance
 01/01/25  ,INTEREST PAID TILL 31-DEC-2024                                                                                           ,31/12/24 ,           0.00     ,        1919.00     ,00000000000        ,      323288.39  
 01/01/25  ,ACH D- ABCDEFGHIJKLMNOABCDEFGHIJKLMNOABC                                                                                 ,01/01/25 ,       39775.00     ,           0.00     ,000000281862       ,      283513.39  
 01/01/25  ,12341234123456-TPT-ABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEF                                                                  ,01/01/25 ,       28000.00     ,           0.00     ,000000020585       ,      255513.39  
 01/01/25  ,NEFT DR-BARABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEFGHIJKLMN                                    ,01/01/25 ,       60000.00     ,           0.00     ,N00125322908       ,      195513.39  
 03/01/25  ,NEFT CR-ABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDEFGHIJKLMNOABCDE                                                ,03/01/25 ,           0.00     ,       45000.00     ,ICIN10037844       ,      240513.39  
 10/01/25  ,POS 122334XXXXXX1234 ABCDEFGHIJKLMNO                                                                                     ,10/01/25 ,        9535.00     ,           0.00     ,000000048337       ,      230978.39  
 10/01/25  ,UPI-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMN-CREDIT CARDS                                       ,10/01/25 ,           0.00     ,       44083.00     ,000050100444       ,      275061.39  
 17/01/25  ,FT- ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQAB - RED  - 1234- 12345678                                                         ,17/01/25 ,           0.00     ,       20000.00     ,000000198567       ,      295061.39  
 20/01/25  ,NEFT CR-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQ                            ,20/01/25 ,           0.00     ,      110000.00     ,BARBN520663956     ,      405061.39  
 23/01/25  ,POS ABCDEFXXXXXX5903 ABCDEFGHIJKLMNO                                                                                     ,23/01/25 ,       65500.00     ,           0.00     ,000000003162       ,      339561.39  
 23/01/25  ,UPI-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJ-NO REMARKS                                             ,23/01/25 ,       24247.57     ,           0.00     ,000015230926       ,      315313.82  
 01/02/25  ,UPI-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJ-UPI                                                    ,01/02/25 ,      143663.88     ,           0.00     ,000050320162       ,      171649.94  
 01/02/25  ,UPI-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJ-EXPENSES                                               ,01/02/25 ,       17033.00     ,           0.00     ,000050328033       ,      154616.94  
 01/02/25  ,UPI-ABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCDEFGHIJKLMNOPQABCD                                             ,01/02/25 ,        1871.00     ,           0.00     ,000050323503       ,      152745.94  
 01/02/25  ,DEFGHIJKLMNOPQ-TPT-ABCDEFGHIJKLMNOPQABCDEFGHIJKLM                                                                        ,01/02/25 ,       28000.00     ,           0.00     ,000000064011       ,      124745.94  
 01/02/25  ,NEFT DR-BARB0ABCDEF-ABCDEFGHIJKLMNOPQ-NETBANK, MUM-HDFCN52025020134644165-FEB 2025                                       ,01/02/25 ,       60000.00     ,           0.00     ,HDFCN5202502013165 ,       64745.94  
